,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20140101,2014,52,2014,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,17116.0,,17116.0,0,True,False
1,C,A,20140101,2014,52,2014,28,ATG,Antigua and Barbuda,M,Import,156,CHN,China,0,W00,World,H3,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,73.0,,73.0,0,True,False
2,C,A,20140101,2014,52,2014,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,,False,1589.39,1550.0,1589.39,0,False,True
3,C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,1059.0,,1059.0,0,True,False
4,C,A,20140101,2014,52,2014,48,BHR,Bahrain,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,3049.0,,3049.0,0,True,False
5,C,A,20140101,2014,52,2014,56,BEL,Belgium,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,195906.867,0.0,195906.867,0,False,True
6,C,A,20140101,2014,52,2014,60,BMU,Bermuda,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,248.0,,248.0,0,True,False
7,C,A,20140101,2014,52,2014,96,BRN,Brunei Darussalam,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,133689.0,,133689.0,0,True,False
8,C,A,20140101,2014,52,2014,100,BGR,Bulgaria,M,Import,156,CHN,China,0,W00,World,H4,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,326267.0,,326267.0,0,True,False
9,C,A,20140101,2014,52,2014,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H4,HS,True,0101,"Horses, asses, mules and hinnies; live",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,6113.0,False,,False,15099.0,,15099.0,0,True,False
10,C,A,20140101,2014,52,2014,60,BMU,Bermuda,M,Import,156,CHN,China,0,W00,World,H4,HS,True,0101,"Horses, asses, mules and hinnies; live",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,N/A,,False,,False,,False,1.0,,1.0,0,True,False
11,C,A,20140101,2014,52,2014,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H4,HS,True,010121,"Horses; live, pure-bred breeding animals",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,6113.0,False,,False,15099.0,,15099.0,0,True,False
12,C,A,20140101,2014,52,2014,60,BMU,Bermuda,M,Import,156,CHN,China,0,W00,World,H4,HS,True,010121,"Horses; live, pure-bred breeding animals",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,N/A,,False,,False,,False,1.0,,1.0,0,True,False
13,C,A,20140101,2014,52,2014,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H4,HS,True,0106,"Animals; live, n.e.c. in chapter 01",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,65.0,False,,False,2017.0,,2017.0,0,True,False
14,C,A,20140101,2014,52,2014,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H4,HS,True,0106,"Animals; live, n.e.c. in chapter 01",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,752.0,False,5,u,752.0,False,5.78,False,,False,1589.39,1550.0,1589.39,0,False,True
15,C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,156,CHN,China,0,W00,World,H4,HS,True,0106,"Animals; live, n.e.c. in chapter 01",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,100.0,False,,False,1059.0,,1059.0,0,True,False
